"","measurement_type","measurement_value","rmse","mae"
"1","Monotonic",0,9.07686737200824e-05,9.07686737200824e-05
"2","Monotonic",0.5,2.0549210051457e-05,2.0549210051457e-05
"3","Monotonic",1,0.00773136421417642,0.00773136421417642
"4","Skinny",0,0.0197627180280606,0.0197627180280606
"5","Skinny",0.5,7.30523968761609e-06,7.30523968761609e-06
"6","Skinny",1,0.0850683638851208,0.0850683638851208
"7","Sparse",0,0.0915640291820696,0.0915640291820696
"8","Sparse",0.5,0.214645639932163,0.214645639932163
"9","Sparse",1,0.617447095664882,0.617447095664882
"10","Stringy",0,0.008,0.008
"11","Stringy",0.5,0.0022168276606146,0.0022168276606146
"12","Stringy",1,0,0
"13","Convex",0,0.00360355922431355,0.00360355922431355
"14","Convex",0.5,7.23797231000356e-06,7.23797231000356e-06
"15","Convex",1,0.00636549966310385,0.00636549966310385
"16","Skewed",0,0.0943302157314814,0.0943302157314814
"17","Skewed",0.5,2.19574005090317e-05,2.19574005090317e-05
"18","Skewed",1,0.222527279011923,0.222527279011923
"19","Clumpy",0,0.00226691713315304,0.00226691713315304
"20","Clumpy",0.5,1.13288240794485e-05,1.13288240794485e-05
"21","Clumpy",1,0.050636502629239,0.050636502629239
"22","Striated",0,0,0
"23","Striated",0.5,0,0
"24","Striated",1,0.0526315789473685,0.0526315789473685
"25","Outlying",0,0,0
"26","Outlying",0.5,1.05111063997132e-06,1.05111063997132e-06
"27","Outlying",1,1.04544545997953e-06,1.04544545997953e-06
